Rank,Name,G,TD,FG,1XP,2XP,Safety,Points,Points/G
1,Georgia,15,16,14,13,1,0,153,10.2
2,Clemson,13,22,13,18,1,1,193,14.8
3,Texas A&M,12,21,13,20,1,2,191,15.9
4,Wisconsin,13,25,12,22,1,0,210,16.2
5,Cincinnati,14,28,13,25,1,1,236,16.9
6,Penn State,13,24,18,21,3,0,225,17.3
6,Minnesota,13,28,11,24,0,0,225,17.3
8,Michigan,14,28,14,23,5,0,243,17.4
9,Oklahoma State,14,30,14,29,0,1,253,18.1
10,Baylor,14,29,18,28,0,0,256,18.3
11,Louisiana-Lafayette,14,33,11,26,1,0,259,18.5
12,Boise State,12,26,15,23,1,1,228,19
13,Iowa,14,31,18,29,0,0,269,19.2
14,North Carolina State,12,29,11,29,0,0,236,19.7
14,Notre Dame,13,28,21,23,1,0,256,19.7
16,Air Force,13,34,6,31,2,0,257,19.8
16,San Diego State,14,34,13,30,1,1,277,19.8
18,Alabama,15,36,17,33,1,0,302,20.1
19,Houston,14,36,11,33,2,0,286,20.4
20,Fresno State,13,32,16,27,0,0,267,20.5
20,Iowa State,13,34,10,33,0,0,267,20.5
22,Arizona State,13,31,19,28,0,0,271,20.8
23,Kansas State,13,31,19,28,0,1,273,21
24,Liberty,13,35,12,32,1,0,280,21.5
25,Coastal Carolina,13,36,10,29,3,0,281,21.6
26,Kentucky,13,34,15,31,1,0,282,21.7
27,Toledo,13,29,27,26,1,0,283,21.8
27,Auburn,13,32,19,28,3,0,283,21.8
29,Illinois,12,30,18,27,1,0,263,21.9
30,Appalachian State,14,37,17,35,0,1,310,22.1
31,Boston College,12,32,13,31,0,2,266,22.2
32,California,12,33,12,27,3,0,267,22.3
32,Army,13,37,11,33,1,0,290,22.3
34,Purdue,13,36,13,34,1,0,291,22.4
35,Utah,14,38,16,34,3,0,316,22.6
36,Washington,12,30,20,30,0,1,272,22.7
36,Nebraska,12,31,16,30,1,3,272,22.7
38,Ohio State,13,39,8,38,0,0,296,22.8
39,Arkansas,13,35,17,31,3,0,298,22.9
40,Miami (Ohio),13,39,9,37,1,0,300,23.1
41,UAB,13,41,6,36,1,0,302,23.2
42,Pittsburgh,14,43,10,39,1,1,331,23.6
43,Wyoming,13,38,16,32,0,0,308,23.7
44,Marshall,13,39,13,36,0,0,309,23.8
44,West Virginia,13,36,19,33,2,0,310,23.8
46,South Carolina,13,36,19,35,1,1,312,24
47,Washington State,13,38,15,32,4,1,315,24.2
48,Utah State,14,39,23,37,1,0,342,24.4
49,UCF,13,40,13,40,0,0,319,24.5
50,UTSA,14,44,14,37,1,0,345,24.6
51,Mississippi,13,40,13,36,2,1,321,24.7
52,BYU,13,38,18,34,2,1,322,24.8
53,UTEP,13,40,16,38,0,1,328,25.2
54,Michigan State,13,39,19,36,1,0,329,25.3
54,Virginia Tech,13,42,12,39,1,0,329,25.3
56,Rutgers,13,43,11,40,1,0,333,25.6
57,Middle Tennessee,13,42,12,40,2,1,334,25.7
