Rank,Name,G,TD,FG,1XP,2XP,Safety,Points,Points/G
1,Ohio State,13,76,20,76,0,1,594,45.7
2,Western Kentucky,14,79,23,72,2,0,619,44.2
3,Pittsburgh,14,76,17,71,0,1,580,41.4
4,Wake Forest,14,72,23,65,4,0,574,41
5,Coastal Carolina,13,72,9,65,2,2,532,40.9
6,Alabama,15,75,23,71,4,0,598,39.9
7,Tennessee,13,67,12,67,0,3,511,39.3
8,Oklahoma,13,63,21,61,2,1,508,39.1
9,Georgia,15,73,22,71,0,2,579,38.6
10,SMU,12,61,12,55,2,0,461,38.4
11,Cincinnati,14,70,9,67,1,0,516,36.9
11,UTSA,14,63,25,63,0,0,516,36.9
13,UCLA,12,57,14,52,1,0,438,36.5
14,Utah,14,67,12,62,2,1,506,36.1
15,Houston,14,65,16,62,0,1,502,35.9
16,Michigan,14,62,23,56,2,0,501,35.8
17,Nevada,13,57,22,52,2,0,464,35.7
18,Texas,12,55,13,52,0,1,423,35.3
19,Notre Dame,13,58,16,54,3,1,458,35.2
19,North Carolina,13,57,19,53,3,0,458,35.2
21,Virginia,12,52,15,50,2,2,415,34.6
22,Appalachian State,14,61,20,57,0,0,483,34.5
23,Miami (Florida),12,51,17,48,1,1,409,34.1
24,Mississippi,13,56,15,51,1,2,438,33.7
25,Liberty,13,61,5,52,1,1,437,33.6
26,Toledo,13,56,14,52,1,1,434,33.4
26,Fresno State,13,53,21,47,1,2,434,33.4
28,BYU,13,57,11,53,1,0,430,33.1
28,North Carolina State,12,51,13,48,1,1,397,33.1
30,Kent State,14,57,21,51,3,0,462,33
30,Marshall,13,58,8,57,0,0,429,33
32,Army,13,57,9,52,2,1,427,32.8
33,Utah State,14,56,20,52,2,2,456,32.6
34,Western Michigan,13,56,12,50,0,0,422,32.5
35,Kentucky,13,56,10,54,0,0,420,32.3
35,Central Michigan,13,53,17,49,1,0,420,32.3
37,Northern Illinois,14,54,25,46,3,0,451,32.2
38,UCF,13,56,8,53,0,1,415,31.9
39,Michigan State,13,54,12,46,4,0,414,31.8
40,Baylor,14,57,14,57,0,1,443,31.6
40,Louisville,13,53,14,51,0,0,411,31.6
42,Oregon,14,57,13,55,1,1,440,31.4
43,Iowa State,13,48,24,47,0,0,407,31.3
44,Oregon State,13,53,12,48,2,0,406,31.2
45,Louisiana-Lafayette,14,58,11,52,1,0,435,31.1
45,Oklahoma State,14,54,20,51,0,0,435,31.1
47,Air Force,13,52,11,48,4,1,403,31
48,Arkansas,13,49,20,46,1,0,402,30.9
49,Florida,13,53,10,49,1,0,399,30.7
50,Texas Tech,13,50,15,49,0,0,394,30.3
51,Eastern Michigan,13,48,19,47,0,0,392,30.2
52,Memphis,12,47,12,37,3,0,361,30.1
53,Middle Tennessee,13,51,10,46,2,1,388,29.8
54,East Carolina,12,43,19,39,1,0,356,29.7
55,UAB,13,50,11,49,1,0,384,29.5
56,Maryland,13,49,14,41,2,0,381,29.3
56,Texas A&M,12,41,22,38,1,0,352,29.3
56,Buffalo,12,44,14,39,3,0,351,29.3
59,Boise State,12,39,26,38,0,0,350,29.2
60,Mississippi State,13,48,14,42,2,1,378,29.1
60,Purdue,13,44,24,40,1,0,378,29.1
60,Missouri,13,44,23,41,2,0,378,29.1
63,Miami (Ohio),13,48,15,39,2,0,376,28.9
64,Hawai'i,13,46,18,42,1,0,374,28.8
65,TCU,12,43,14,42,0,1,344,28.7
65,USC,12,39,23,33,4,0,344,28.7
67,Arizona State,13,49,8,43,3,1,369,28.4
68,Auburn,13,44,19,41,2,1,368,28.3
