Jersey,Player,Yr,Pos,Ht,GP,GS,MP,S,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Status
8,"Rodriguez, Lexi",Fr,L/DS,5-May,34,0,34,121,,1,0,,11,0.091,133,16,36,524,16,,,,,17,returning
6,"Akana, Keonilei",So,L/DS,9-May,34,5,34,119,,1,0,,3,0.333,24,42,37,302,23,,1,,0.5,43.5,not-returning
10,"Kubik, Madi",Jr,OH,3-Jun,34,32,34,118,,412,170,,"1,197",0.202,24,21,39,249,36,6,49,7,37.5,463.5,returning
2,"Knuckles, Kenzie",Jr,L/DS,8-May,34,8,34,119,,52,27,,146,0.171,28,35,31,245,10,,1,,0.5,87.5,returning
22,"Krause, Lindsay",Fr,OH,4-Jun,33,28,33,112,,267,104,,725,0.225,7,1,3,88,4,3,87,4,50.5,314.5,returning
1,"Hames, Nicklin",Sr,S,10-May,32,32,32,114,,43,16,,141,0.191,"1,227",32,41,388,,2,51,8,35.5,102.5,returning
3,"Caffey, Kayla",Sr,MB,Jun-00,31,30,31,106,,255,73,,501,0.363,3,,1,14,,9,109,8,71.5,318.5,undecided 
14,"Batenhorst, Ally",Fr,OH,4-Jun,28,16,28,86,,171,87,,541,0.155,4,,6,54,5,4,23,9,24.5,186.5,returning
11,"Sun, Lexi",Sr,OH,2-Jun,27,11,27,70,,158,78,,523,0.153,11,16,11,70,3,5,33,6,27.5,195.5,not-returning
13,"Lauenstein, Whitney",Fr,OH,2-Jun,27,3,27,67,,62,38,,185,0.13,2,,,24,,,22,4,15,73,returning
4,"Evans, Anni",So,S,9-May,23,1,23,61,,0,0,,2,0,24,10,11,37,,,,,,10,returning
26,"Stivrins, Lauren",Sr,MB,4-Jun,23,23,23,80,,185,49,,401,0.339,8,8,21,28,,3,86,6,52,239,not-returning
25,"Schwarzenbach, Callie",Sr,MB,5-Jun,17,13,17,52,,61,22,,148,0.264,1,,,11,,5,58,2,36,95,not-returning
20,"Meyer, Kalynn",So,MB,3-Jun,6,1,6,8,,8,3,,22,0.227,1,,,,,1,7,,4.5,12.5,not-returning
