Rank,School,Total Points,Record,Previous 
1,Wisconsin (64),1600,31-3,4
2,Nebraska,1518,26-8,10
3,Louisville,1486,32-1,1
4,Pittsburgh,1412,30-4,3
5,Texas,1337,27-2,2
6,Purdue,1269,26-7,8
7,Minnesota,1184,22-9,11
8,Georgia Tech,1138,26-6,13
9,BYU,1061,30-2,5
10,Baylor,1028,22-6,6
11,Ohio State,966,27-6,9
12,Washington,935,26-5,12
13,UCLA,804,25-6,14
14,Kentucky,741,25-5,7
15,Florida,626,22-9,21
16,Illinois,594,22-12,NR
17,Penn State,554,21-11,15
18,Utah,498,22-9,16
19,Kansas,435,18-12,NR
20,Western Kentucky,403,28-2,17
21,Stanford,366,19-11,18
22,Creighton,275,31-4,20
23,Washington State,212,19-12,22
24,Oregon,161,22-9,19
25,Miami (FL),64,24-5,24
